addr,blocks,last_pc,reason
0x010b4262,1,0x010b4262,"UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)"
0x010b4336,1,0x010b4336,"UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)"
0x010b43ec,1,0x010b43ec,"UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)"
0x010b4510,1,0x010b4510,"unmapped access=19 addr=0x00003e01 size=1 pc=0x010b4510"
