addr	size	has_halt_baddata	has_bad_bm	trailing_byte
010d7dc0	100	false	false	E0
010d8192	14	true	true	D3
010d8478	54	false	false	E1
010d8b7e	34	true	true	00
010da010	90	true	true	00
010dabae	62	false	true	00
010db65c	34	false	true	00
010dc23a	34	false	true	00
010dc798	56	false	true	00
010dc7f4	34	false	true	00
010dcb04	34	false	true	00
010dd668	34	false	true	00
010dd9ec	34	false	true	00
010ddb9e	34	false	true	00
010ddc54	34	false	true	00
010dde9e	34	false	true	00
010dec7c	34	false	true	00
010df266	368	false	true	01
010df4ec	10	false	false	06
010df7fa	256	false	false	00
010df9dc	208	false	false	04
010dffa0	76	false	false	04
010e0562	206	false	false	71
010e09ae	70	false	false	6E
010e1966	42	false	false	19
010e23f0	2	false	false	01
010e2b24	154	false	true	4B
010e30d2	68	false	false	47
010e363a	84	false	true	45
010e3b94	40	false	false	00
010e40e2	8	false	false	00
010e4868	98	false	false	2F
010e4a52	32	false	false	31
010e4c8a	6	false	false	D1
010e4cba	264	false	false	2D
010e57ec	202	false	false	1F
010e63ae	302	false	false	55
010e6c60	486	false	false	09
010e8c98	86	false	true	00
010ed422	3106	true	true	FF
