addr	size	has_halt_baddata	has_bad_bm	trailing_byte
010527f6	352	false	false	05
01052d8c	62	false	false	01
01053598	98	false	false	01
01053614	12	false	false	E0
010536fa	24	false	false	E6
01053712	220	false	false	01
010539e8	86	false	false	4A
01053bf2	16	true	true	70
010540ba	6	false	false	81
010542b8	208	false	true	01
010548c2	40	true	true	71
01054924	14	true	true	51
010552b6	86	false	false	30
01055628	100	false	false	E5
01055d62	10	false	false	57
01055d86	20	false	false	E1
01056452	178	false	false	E7
01056504	42	false	false	54
0105676a	72	false	true	00
01056adc	32	false	false	2A
01056ffa	8	false	false	00
01057028	8	false	false	00
01057680	20	false	false	01
01057988	14	false	false	02
01057db2	484	false	true	00
01058b24	96	false	true	00
01058c18	100	false	true	6C
010590f4	114	true	true	4C
01059978	178	true	true	2A
01059ad4	22	true	true	35
01059e12	14	false	false	48
0105a096	20	true	true	30
0105a2c8	34	true	true	50
0105a35a	16	true	true	E0
0105a394	374	false	true	01
0105ade6	142	false	false	01
0105b5e6	72	false	true	5F
0105b6b8	30	false	false	F8
0105bba0	54	true	true	50
0105be4a	14	false	false	C0
0105c4c8	96	false	false	7C
0105c5b4	60	false	false	7F
0105c5f0	170	false	false	C9
0105d790	160	true	true	31
0105d8c4	106	false	false	5D
0105e6ee	36	false	false	E0
0105e8c0	168	false	false	7C
0105fc1a	242	false	false	00
0106042c	386	false	false	06
010608d8	28	false	false	07
010609fa	24	false	false	E0
01060a3c	34	false	false	E4
01060ed2	38	false	false	E0
01060f22	48	false	false	E0
010619e4	206	false	false	10
01061d82	104	false	false	7E
01061dea	1232	false	false	81
01062352	80	false	false	01
010629b4	130	false	false	00
01062dd4	42	false	false	20
01062f54	360	false	false	01
01063180	16	false	false	79
01063210	16	false	false	79
0106325c	16	false	false	79
01063460	120	false	false	02
01063a74	156	false	false	01
01064ff8	146	false	false	00
01065c4e	164	false	false	00
01066352	174	false	false	02
01066e2a	18	false	false	70
01066eae	16	false	false	71
01067274	104	false	false	11
010677b6	38	false	false	48
0106784e	36	false	false	54
01067872	98	true	true	45
01067a8e	26	false	false	48
0106832c	60	false	false	01
010686e4	30	false	false	22
01068736	84	false	false	02
01068c18	28	false	false	E0
010694da	24	false	false	01
0106a052	356	false	true	FE
0106abba	20	false	false	FC
0106ac74	28	false	false	00
0106aca2	148	false	false	10
0106b842	90	false	false	DD
0106bb4a	232	false	false	FD
0106bce6	72	false	false	1C
0106bd22	160	false	false	7C
0106be38	96	false	false	73
0106be98	276	false	false	00
0106c384	14	true	true	7C
0106c3c2	14	true	true	7C
0106c456	256	true	false	40
0106cb4c	76	false	false	18
0106cff2	498	false	true	8D
0106d3f2	126	false	false	CC
0106d52a	162	false	false	54
0106d5cc	430	false	true	E1
0106da4a	220	false	false	00
0106dcac	402	false	true	00
0106e0e6	208	false	false	0F
0106ef1a	34	false	false	02
0106ef42	4	false	false	02
0106f21a	12	false	false	54
0106f226	14	false	false	01
0106f558	32	false	false	9A
0106fce2	12	false	false	E1
01070380	72	false	false	E8
010703d6	20	false	false	00
010703ea	452	false	false	40
010705bc	284	false	false	01
0107075a	28	false	false	00
010708ee	154	false	false	02
01070a44	192	false	true	01
010714f4	256	true	true	59
010716dc	70	false	false	08
01071848	106	false	false	E6
010718ba	138	false	true	03
01071958	26	false	false	C8
01071b0c	556	false	true	01
01071f48	1228	false	false	BA
01072d8a	114	false	true	00
0107330c	52	true	true	55
01073344	28	true	true	51
0107339c	24	true	true	55
01073418	40	true	true	55
01073966	50	true	true	01
01073a70	38	true	true	70
01073aa2	14	true	true	37
01073b86	86	true	true	50
0107425a	8	true	true	51
01074282	16	true	true	4A
010748e8	248	true	true	00
01074982	24	true	true	E2
010749be	216	true	true	01
01074cfe	38	false	false	03
01074d58	100	false	false	55
01074dc0	36	false	false	55
01074de8	12	false	false	71
0107572a	6	false	false	34
01075752	522	false	true	91
01075db8	346	false	false	01
01075f1a	26	false	false	81
010764a8	174	false	false	02
01077206	42	false	false	01
01077288	8	false	false	61
01077664	80	false	false	44
01077a5a	46	false	false	01
01077a9a	22	false	false	81
01077d82	150	true	true	70
01077fe2	356	true	false	E8
01078336	112	false	true	81
01078500	54	false	false	00
01078758	144	false	false	19
01079588	34	false	false	7D
010795aa	198	false	false	01
01079c28	388	false	false	00
0107a0a6	66	false	false	01
0107a79e	122	false	false	91
0107aff0	8	true	true	54
0107b252	74	false	false	91
0107b2c4	62	false	false	79
0107b302	24	true	false	1C
0107b31a	120	true	true	1C
0107b3c0	64	true	true	01
0107b43c	18	true	true	1F
0107b52a	68	false	true	8E
0107b6dc	62	false	false	00
0107b804	124	false	true	8B
0107b8e6	72	false	false	8A
0107bd00	172	false	false	81
0107c0d2	262	true	true	49
0107c576	228	false	false	B5
0107ca5c	56	false	false	58
0107cb18	112	false	false	1B
0107cb88	16	false	false	E0
0107cbbe	110	false	false	93
0107cc2c	14	false	false	5C
0107d210	44	false	false	64
0107d2a4	8	false	false	5D
0107e2bc	402	false	false	71
0107e8d2	50	false	false	7C
0107e94a	168	false	false	60
0107eb6c	80	false	false	E6
0107ee1a	270	true	true	70
0107ef40	20	false	false	E6
0107f274	208	false	false	4E
0107f548	52	false	false	20
0107f5c4	6	false	false	70
0107f5fa	6	false	false	01
0107f602	338	false	true	62
010802bc	358	false	true	E1
0108050e	156	false	false	01
01080b1e	356	false	false	23
01080d82	54	false	false	03
01080e64	44	false	false	04
01081382	48	false	false	53
010817e0	22	true	true	1C
01081a86	44	false	false	01
01081c46	252	false	false	00
01081d50	306	false	true	1A
0108210e	70	false	false	17
01082224	114	false	false	16
010823ba	28	false	false	59
010823d6	52	true	true	37
01082f26	310	false	false	08
0108348a	56	false	false	01
0108394a	164	false	false	01
01083f18	68	false	false	30
010840c2	256	false	false	71
01084cc6	46	false	false	04
01084cf4	142	false	false	28
0108501c	6	false	false	24
010858f6	16	false	false	01
01086702	32	false	false	68
01086722	8	false	false	50
010869da	302	false	false	90
01087744	218	true	true	D9
01087e4c	86	false	true	79
01088594	42	true	true	2A
010886a2	44	true	true	2A
01088d8a	44	true	true	2A
010890f8	8	false	false	48
0108912c	18	false	false	98
010891ea	72	false	false	70
010892ca	16	true	false	79
010892da	32	true	true	AB
010897de	38	true	true	00
01089d70	338	false	true	1D
01089fd0	104	true	true	E0
0108a05a	38	false	false	89
0108a240	376	false	false	00
0108aac0	104	true	true	7D
0108ad42	240	false	false	90
0108ae74	220	false	false	90
0108b384	382	true	true	33
0108b616	92	true	true	59
0108b6a0	136	true	true	E6
0108ca6a	278	true	true	E6
0108e09c	92	true	true	59
0108e126	136	true	true	E6
0108e61a	248	true	true	01
0108e976	936	true	true	01
0108f87c	152	false	false	60
0108fb26	292	false	true	31
0108fc4a	476	false	false	39
01090568	52	false	false	01
01090c08	64	false	false	56
01090c80	28	false	false	7D
01090dd0	140	false	false	7D
01090fe0	16	false	false	09
010913de	202	false	true	50
010918b8	42	false	false	34
0109201c	46	false	false	00
010921d4	364	false	false	7A
01092340	46	false	false	7D
0109236e	12	false	false	02
01092db8	82	false	false	03
010935fa	42	true	true	C7
01095b16	208	false	false	80
01095c42	94	true	true	71
0109625e	68	true	true	A8
01096654	284	false	true	55
01096c76	52	false	false	E1
01096cf4	46	true	true	C6
01096db6	400	false	false	E8
